From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
03-01-2020 18:15,03-01-2020 18:30,16.2,38.6,11.5,27.2,38.7,3.73
03-01-2020 18:30,03-01-2020 18:45,16.7,38.9,12.3,27.3,39.7,3.73
03-01-2020 18:45,03-01-2020 19:00,21.3,41,13.2,27.5,40.7,3.76
03-01-2020 19:00,03-01-2020 19:15,21.3,41,14.8,27.6,42.4,3.83
03-01-2020 19:15,03-01-2020 19:30,21.3,41,17.2,28,45.2,3.63
03-01-2020 19:30,03-01-2020 19:45,21.1,40.7,19.2,27.9,47.1,3.66
03-01-2020 19:45,03-01-2020 20:00,19.5,37.4,20.1,28.3,48.4,3.72
03-01-2020 20:00,03-01-2020 20:15,19.5,37.4,19.9,30.6,50.5,3.93
03-01-2020 20:15,03-01-2020 20:30,19.5,37.4,19.6,31.6,51.2,3.65
03-01-2020 20:30,03-01-2020 20:45,19,37.5,20.2,32.4,52.6,3.73
03-01-2020 20:45,03-01-2020 21:00,14.6,38.2,19.8,33.4,53.1,3.72
03-01-2020 21:00,03-01-2020 21:15,14.6,38.2,20.1,33.9,54,3.76
03-01-2020 21:15,03-01-2020 21:30,14.6,38.2,20.5,33.6,54,3.81
03-01-2020 21:30,03-01-2020 21:45,15.3,38.1,21.2,33.3,54.6,3.9
03-01-2020 21:45,03-01-2020 22:00,21.5,37.9,21.1,35,56.1,3.79
03-01-2020 22:00,03-01-2020 22:15,21.5,37.9,21.2,34.1,55.3,3.96
03-01-2020 22:15,03-01-2020 22:30,21.5,37.9,21,32,53,3.82
03-01-2020 22:30,03-01-2020 22:45,21.3,37.5,21,30.7,51.7,3.72
03-01-2020 22:45,03-01-2020 23:00,19.5,34.1,21.5,29.4,51,3.68
03-01-2020 23:00,03-01-2020 23:15,19.5,34.1,21.4,28.9,50.3,3.63
03-01-2020 23:15,03-01-2020 23:30,19.5,34.1,20.8,28.3,49.1,3.73
03-01-2020 23:30,03-01-2020 23:45,19.7,33.6,20.2,28,48.1,3.97
03-01-2020 23:45,04-01-2020 00:00,None,None,None,None,None,None
04-01-2020 00:00,04-01-2020 00:15,21.4,29.6,19.5,28,47.5,3.82
04-01-2020 00:15,04-01-2020 00:30,21.4,29.6,19.4,28.1,47.5,3.72
04-01-2020 00:30,04-01-2020 00:45,21.4,30.3,19.2,29.8,48.9,3.73
04-01-2020 00:45,04-01-2020 01:00,21.9,36.1,18.9,31.4,50.3,3.73
04-01-2020 01:00,04-01-2020 01:15,21.9,36.1,18.7,32.1,50.8,3.85
